date,code,name,close_price,total_score
20260513,000581,威孚高科,20.26,30.51
20260514,000581,威孚高科,19.88,30.2
20260515,000581,威孚高科,20.37,29.49
20260518,000581,威孚高科,19.9,25.19
20260519,000581,威孚高科,19.91,26.99
20260520,000581,威孚高科,20.04,26.96
20260521,000581,威孚高科,19.86,26.4
20260522,000581,威孚高科,19.7,27.7
20260525,000581,威孚高科,19.75,27.63
20260512,000589,贵州轮胎,4.96,37.45
20260513,000589,贵州轮胎,4.93,36.47
20260514,000589,贵州轮胎,4.86,35.92
20260515,000589,贵州轮胎,4.87,37.52
20260518,000589,贵州轮胎,4.71,36.04
20260519,000589,贵州轮胎,4.75,37.11
20260520,000589,贵州轮胎,4.72,35.13
20260521,000589,贵州轮胎,4.71,34.54
20260522,000589,贵州轮胎,4.74,35.74
20260525,000589,贵州轮胎,4.73,39.63
20260512,000596,古井贡酒,102.54,19.1
20260513,000596,古井贡酒,99.29,19.15
20260514,000596,古井贡酒,101.04,19.67
20260515,000596,古井贡酒,98.36,20.79
20260518,000596,古井贡酒,96.11,15.3
20260519,000596,古井贡酒,96.0,15.71
20260520,000596,古井贡酒,96.07,20.7
20260521,000596,古井贡酒,94.99,15.76
20260522,000596,古井贡酒,92.25,15.76
20260525,000596,古井贡酒,93.55,22.23
20260512,000597,东北制药,4.98,19.63
20260513,000597,东北制药,5.08,24.89
20260514,000597,东北制药,4.95,19.74
20260515,000597,东北制药,4.94,12.35
20260518,000597,东北制药,4.82,11.4
20260519,000597,东北制药,4.91,16.06
20260520,000597,东北制药,4.84,13.19
20260521,000597,东北制药,4.85,17.19
20260522,000597,东北制药,4.76,15.89
20260525,000597,东北制药,4.76,17.23
20260512,000598,兴蓉环境,6.74,23.24
20260513,000598,兴蓉环境,6.74,26.24
20260514,000598,兴蓉环境,6.67,23.78
20260515,000598,兴蓉环境,6.6,20.43
20260518,000598,兴蓉环境,6.53,22.69
20260519,000598,兴蓉环境,6.66,26.19
20260520,000598,兴蓉环境,6.58,25.65
20260521,000598,兴蓉环境,6.55,23.07
20260522,000598,兴蓉环境,6.58,25.07
20260525,000598,兴蓉环境,6.72,31.15
20260512,000600,建投能源,9.99,51.76
20260513,000600,建投能源,10.06,53.94
20260514,000600,建投能源,9.92,50.98
20260515,000600,建投能源,9.86,45.0
20260518,000600,建投能源,9.89,40.49
20260519,000600,建投能源,10.88,53.22
20260520,000600,建投能源,10.16,50.51
20260521,000600,建投能源,10.13,43.92
20260522,000600,建投能源,10.13,44.52
20260525,000600,建投能源,10.28,46.08
20260512,000603,盛达资源,39.1,49.36
20260513,000603,盛达资源,38.79,43.27
20260514,000603,盛达资源,37.43,42.69
20260515,000603,盛达资源,35.9,38.32
20260518,000603,盛达资源,34.18,39.75
20260519,000603,盛达资源,33.56,34.77
20260520,000603,盛达资源,33.04,35.28
20260521,000603,盛达资源,32.4,34.69
20260522,000603,盛达资源,33.05,34.29
20260525,000603,盛达资源,34.02,43.26
20260512,000612,焦作万方,12.92,48.18
20260513,000612,焦作万方,13.02,52.15
20260514,000612,焦作万方,12.66,43.95
20260515,000612,焦作万方,12.25,47.96
20260518,000612,焦作万方,11.77,41.11
20260519,000612,焦作万方,11.98,42.04
20260520,000612,焦作万方,12.24,45.66
20260521,000612,焦作万方,11.85,43.08
20260522,000612,焦作万方,12.47,43.88
20260525,000612,焦作万方,12.28,48.15
20260512,000617,中油资本,9.19,23.91
20260513,000617,中油资本,9.21,26.01
20260514,000617,中油资本,8.93,25.64
20260515,000617,中油资本,8.91,26.64
20260518,000617,中油资本,8.95,23.04
20260519,000617,中油资本,8.59,20.08
20260520,000617,中油资本,8.62,21.08
20260521,000617,中油资本,8.25,22.73
20260522,000617,中油资本,8.13,22.33
20260525,000617,中油资本,7.99,18.37
20260512,000620,盈新发展,3.09,35.04
20260513,000620,盈新发展,3.18,32.64
20260514,000620,盈新发展,3.09,29.04
20260515,000620,盈新发展,3.28,36.84
20260518,000620,盈新发展,3.39,36.44
20260519,000620,盈新发展,3.33,38.44
20260520,000620,盈新发展,3.28,36.44
20260521,000620,盈新发展,3.07,31.24
20260522,000620,盈新发展,3.13,32.04
20260525,000620,盈新发展,3.11,29.04
20260512,000625,长安汽车,9.17,13.79
20260513,000625,长安汽车,9.09,18.31
20260514,000625,长安汽车,8.9,18.06
20260515,000625,长安汽车,8.93,21.06
20260518,000625,长安汽车,8.61,13.75
20260519,000625,长安汽车,8.62,9.75
20260520,000625,长安汽车,8.48,7.89
20260521,000625,长安汽车,8.47,12.9
20260522,000625,长安汽车,8.44,12.9
20260525,000625,长安汽车,8.38,9.92
20260512,000628,高新发展,61.5,35.2
20260513,000628,高新发展,60.96,36.3
20260514,000628,高新发展,61.78,36.99
20260515,000628,高新发展,64.22,41.68
20260518,000628,高新发展,62.21,35.79
20260519,000628,高新发展,62.26,42.29
20260520,000628,高新发展,62.39,48.29
20260521,000628,高新发展,58.06,39.41
20260522,000628,高新发展,59.38,39.01
20260525,000628,高新发展,58.8,30.81
20260512,000630,铜陵有色,6.89,44.13
20260513,000630,铜陵有色,6.98,43.11
20260514,000630,铜陵有色,6.69,42.77
20260515,000630,铜陵有色,6.4,36.84
20260518,000630,铜陵有色,6.08,25.52
20260519,000630,铜陵有色,6.02,20.54
20260520,000630,铜陵有色,5.92,19.17
20260521,000630,铜陵有色,5.78,20.01
20260522,000630,铜陵有色,6.36,25.31
20260525,000630,铜陵有色,6.74,43.16
20260512,000636,风华高科,29.45,62.17
20260513,000636,风华高科,29.57,60.47
20260514,000636,风华高科,28.21,64.6
20260515,000636,风华高科,27.68,59.61
20260518,000636,风华高科,29.43,56.27
20260519,000636,风华高科,32.37,54.81
20260520,000636,风华高科,34.0,60.88
20260521,000636,风华高科,34.2,64.77
20260522,000636,风华高科,37.62,66.77
20260525,000636,风华高科,41.38,56.37
20260512,000650,仁和药业,5.69,29.26
20260513,000650,仁和药业,5.67,29.37
20260514,000650,仁和药业,5.61,29.41
20260515,000650,仁和药业,5.6,29.41
20260518,000650,仁和药业,5.52,28.47
20260519,000650,仁和药业,5.57,33.63
20260520,000650,仁和药业,5.48,29.59
20260521,000650,仁和药业,5.41,28.64
20260522,000650,仁和药业,5.38,28.24
20260525,000650,仁和药业,5.41,32.44
20260512,000651,格力电器,40.34,36.04
20260513,000651,格力电器,40.3,37.15
20260514,000651,格力电器,40.22,35.56
20260515,000651,格力电器,40.63,40.3
20260518,000651,格力电器,39.71,31.42
20260519,000651,格力电器,39.56,29.44
20260520,000651,格力电器,39.51,30.94
20260521,000651,格力电器,38.86,34.7
20260522,000651,格力电器,38.74,34.8
20260525,000651,格力电器,38.63,28.82
20260512,000661,长春高新,88.85,18.4
20260513,000661,长春高新,87.15,19.41
